source	preferred_ja	alt_ja	category	notes
Fire Bolt	炎の矢	ファイアー・ボルト|ファイア・ボルト|ファイアボルト	spell	システム文では漢字和訳を優先。
Fireball	火球	ファイアーボール	spell	システム文では漢字和訳を優先。
Delayed Blast Fireball	遅発火球	ディレイド・ブラスト・ファイアーボール|ディレイド・ブラスト・火球|ディレイブラスト火球	spell	システム文では漢字和訳を優先。
Find Familiar	使い魔獲得	ファインド・ファミリアー|おなじみを見つける	spell	システム文では漢字和訳を優先。
Flame Blade	炎の刃	フレイム・ブレード|Flame Blade|炎刃	spell	システム文では漢字和訳を優先。
Fog Cloud	濃霧	フォッグ・クラウド|Fog Cloud|霧雲	spell	システム文では漢字和訳を優先。
Grease	脂	グリース	spell	システム文では漢字和訳を優先。
Hideous Laughter	抱腹絶倒	ヒディアス・ラフター|Hideous Laughter|恐ろしい笑い	spell	Tasha's Hideous Laughter の公式和訳に合わせる。
Identify	識別	アイデンティファイ|Identify	spell	システム文では漢字和訳を優先。
Ice Knife	氷のナイフ	アイス・ナイフ|アイスナイフ	spell	システム文では漢字和訳を優先。
Jump	跳躍	ジャンプ	spell	システム文では漢字和訳を優先。
Levitate	空中浮揚	レヴィテート|レビテート|Levitate	spell	システム文では漢字和訳を優先。
Longstrider	健脚	ロングストライダー	spell	システム文では漢字和訳を優先。
Mage Armor	魔道士の鎧	メイジ・アーマー|Mage Armor|魔術師の鎧	spell	システム文では漢字和訳を優先。
Magic Missile	魔法の矢	マジック・ミサイル|マジック ミサイル|マジックミサイル	spell	システム文では漢字和訳を優先。
Bless	祝福	ブレス	spell	システム文では漢字和訳を優先。
Heroism	勇壮	ヒロイズム|英雄	spell	システム文では漢字和訳を優先。
Enhance Ability	能力強化	エンハンス・アビリティ	spell	システム文では漢字和訳を優先。
Inflict Wounds	傷付与	インフリクト・ウーンズ|傷を負わせる|負傷	spell	システム文では漢字和訳を優先。
Protection from Poison	毒からの保護	プロテクション・フロム・ポイズン	spell	システム文では漢字和訳を優先。
Barkskin	樹皮の肌	バークスキン	spell	システム文では漢字和訳を優先。
Entangle	からみつき	エンタングル	spell	システム文では漢字和訳を優先。
Goodberry	良き漿果	グッドベリー	spell	システム文では漢字和訳を優先。
Produce Flame	火炎作成	プロデュース・フレイム|Produce Flame	spell	システム文では漢字和訳を優先。
Protection from Evil and Good	善悪からの保護	プロテクション・フロム・イーヴル・アンド・グッド|守る vs 悪と善	spell	システム文では漢字和訳を優先。
Shield	盾	シールド	spell	システム文では漢字和訳を優先。
Water Breathing	水中呼吸	ウォーター・ブリージング|Water Breathing	spell	システム文では漢字和訳を優先。
Water Walk	水上歩行	ウォーター・ウォーク|Water Walk	spell	システム文では漢字和訳を優先。
Shocking Grasp	電撃の手	ショッキング・グラスプ	spell	システム文では漢字和訳を優先。
Sleep	睡眠	スリープ|眠り	spell	システム文では漢字和訳を優先。
Spider Climb	蜘蛛歩き	スパイダー・クライム|スパイダークライム	spell	システム文では漢字和訳を優先。
Thunderwave	雷鳴波	サンダーウェーブ|サンダーウェイヴ	spell	システム文では漢字和訳を優先。
Witch Bolt	魔女の矢	ウィッチ・ボルト|ウィッチボルト	spell	システム文では漢字和訳を優先。
Zephyr Strike	微風の打撃	ゼファー・ストライク|ゼファーストライク|Zephyr Strike	spell	システム文では漢字和訳を優先。
Telekinesis	念動力	テレキネシス|Telekinesis	spell	システム文では漢字和訳を優先。
Elemental Weapon	元素武器	エレメンタルウェポン|エレメンタル・ウェポン|Elemental Weapon	spell	システム文では漢字和訳を優先。
Flame Arrows	火矢	フレイムアロー|フレイム・アローズ|Flame Arrows	spell	システム文では漢字和訳を優先。
Lightning Arrow	電撃の矢	ライトニングアロー|ライトニング・アロー|Lightning Arrow	spell	システム文では漢字和訳を優先。
Mind Blank	空白の心	マインドブランク|マインド・ブランク|Mind Blank	spell	システム文では漢字和訳を優先。
Mass Heal	集団大治癒	マスヒール|Mass Heal	spell	システム文では漢字和訳を優先。
Thunder Step	雷鳴の一跳び	サンダーステップ|サンダー・ステップ|Thunder Step	spell	システム文では漢字和訳を優先。
Blinding Smite	目潰す一撃	ブラインディング・スマイト|Blinding Smite	spell	システム文では漢字和訳を優先。
Foresight	予知	先見の明|フォアサイト|Foresight	spell	システム文では漢字和訳を優先。
Power Word Heal	力の言葉：癒し	パワーワードヒール|パワー・ワード・ヒール|Power Word Heal	spell	システム文では漢字和訳を優先。
Power Word Kill	力の言葉：死	パワーワードキル|パワー・ワード・キル|Power Word Kill	spell	システム文では漢字和訳を優先。
Power Word Stun	力の言葉:朦朧	パワーワードスタン|パワー・ワード・スタン|Power Word Stun	spell	システム文では漢字和訳を優先。
Psychic Scream	心砕く叫び	サイキックスクリーム|サイキック・スクリーム|Psychic Scream	spell	システム文では漢字和訳を優先。
Shapechange	変幻自在	形状変化|Shapechange	spell	システム文では漢字和訳を優先。
Far Step	遠くへの一跳び	ファーステップ|ファー・ステップ|Far Step	spell	システム文では漢字和訳を優先。
Aura of Vitality	活力のオーラ	オーラ・オヴ・ヴァイタリティ|Aura of Vitality	spell	システム文では漢字和訳を優先。
Branding Smite	烙印の一撃	ブランディング・スマイト|Branding Smite	spell	システム文では漢字和訳を優先。
Thunderous Smite	雷鳴の一撃	サンダース・スマイト|サンダラス・スマイト|Thunderous Smite	spell	システム文では漢字和訳を優先。
Time Stop	時間停止	タイムストップ|Time Stop	spell	システム文では漢字和訳を優先。
Weird	不吉な運命	Weird	spell	システム文では漢字和訳を優先。
Teleport	瞬間移動	テレポート|Teleport	spell	システム文では漢字和訳を優先。
Teleporter	瞬間移動装置	テレポーター|Teleporter	ui	system/UI では漢字和訳を優先。
Teleportation Circle	瞬間移動の魔法円	テレポーテーションサークル|Teleportation Circle	spell	システム文では漢字和訳を優先。
Banishing Smite	放逐の一撃	追放のスマイト|バニシング・スマイト|Banishing Smite	spell	システム文では漢字和訳を優先。
Reverse Gravity	重力反転	リバースグラビティ|Reverse Gravity	spell	システム文では漢字和訳を優先。
Dragon's Breath	竜の吐息	ドラゴンブレス|Dragon's Breath	spell	システム文では漢字和訳を優先。
Cloud of Daggers	短剣の群れ	ダガーの雲|Cloud of Daggers	spell	システム文では漢字和訳を優先。
Chain Lightning	連鎖電撃	チェイン光ニング|チェインライトニング|チェイン・ライトニング|Chain Lightning	spell	システム文では漢字和訳を優先。
Elemental Bane	元素禍	エレメンタルベイン|エレメンタル・ベイン|Elemental Bane	spell	システム文では漢字和訳を優先。
Wither and Bloom	ウィザー・アンド・ブルーム	枯れて咲く|Wither and Bloom	spell	公式未掲載のため自然なカタカナを採用。
Freedom of Movement	移動の自由	フリーダム・オブ・ムーブメント|Freedom of Movement	spell	システム文では漢字和訳を優先。
Heroes' Feast	英雄たちの饗宴	ヒーローズ・フィースト|Heroes' Feast	spell	システム文では漢字和訳を優先。
Sorcery Points	魔力点	ソーサリー・ポイント|ソーサリー ポイント|ソーサリーポイント|魔術ポイント	system	ソーサラーのルール用語は魔力点に統一。
immunity	完全耐性	免疫	system	プレイヤー向け表示は完全耐性に統一。
immune	完全耐性	免疫	system	プレイヤー向け表示は完全耐性に統一。
Wild Magic	荒ぶる魔法	ワイルドマジック|Wild Magic	subclass	サブクラス名は公式訳を優先。
Wild Magic Surge	魔法暴走	ワイルドマジックサージ|Wild Magic Surge	feature	特徴名は公式訳を優先。
Tides of Chaos	混沌潮流	混沌の潮流|Tides of Chaos	feature	特徴名は公式訳を優先。
Bend Luck	運命改変	ベンドラック|Bend Luck	feature	特徴名は公式訳を優先。
Controlled Chaos	混沌制御	制御された混沌|Controlled Chaos	feature	特徴名は公式訳を優先。
Spell Bombardment	呪文猛撃	呪文爆撃|Spell Bombardment	feature	特徴名は公式訳を優先。
Wrathful Smite	憤怒の一撃	怒りのスマイト|ラスフル・スマイト	spell	システム文では漢字和訳を優先。
Zone of Truth	真実の場	ゾーン・オヴ・トゥルース	spell	システム文では漢字和訳を優先。
Arcane Ward	秘術の防壁	アーケイン・ワード	feature	防御術系の用語を優先。
Arcane Deflection	秘術偏向	難解な偏向	feature	防御術系の用語を優先。
Arcane Recovery	秘術回復		feature	ウィザード機能名。
Arcane Shot	秘術射撃	アーケインショット|Arcane Shot	feature	アーチャー系機能名。
Arcane Archer	秘術の射手	Arcane Archer	subclass	サブクラス名。
Lesser Restoration	初級回復術	弱回復|Lesser Restoration	spell	公式呪文名を優先。
Greater Restoration	上級回復術	グレーター・レストレーション|Greater Restoration	spell	システム文では漢字和訳を優先。
Remove Curse	呪いの除去	リムーブ・カース|Remove Curse	spell	システム文では漢字和訳を優先。
True Seeing	真実の目	トゥルー・シーイング|True Seeing|真視	spell	システム文では漢字和訳を優先。
death saving throw	死のセーヴィング・スロー		feature	システム文で使用。
Cantrip	初級呪文	キャントリップ	system	system/UI では初級呪文に統一。
Spare the Dying	救命措置	スペア・ザ・ダイイング|Spare the Dying	spell	システム文では漢字和訳を優先。
Eldritch Invocation	妖術	呼び出し|異界の呼び出し	feature	ウォーロックの Invocation 系は妖術に統一。
Eldritch Aegis	エルドリッチ・イージス	異界のイージス|Eldritch Aegis	class_feature	repo 内用語を自然な日本語へ統一。
Eldritch Ward	エルドリッチ・ウォード	異界の護り|Eldritch Ward	class_feature	repo 内用語を自然な日本語へ統一。
Eldritch Pool	エルドリッチ・プール	異界プール|Eldritch Pool	ui	repo 内用語を自然な日本語へ統一。
Eldritch Point	エルドリッチ・ポイント	異界ポイント|Eldritch Point	ui	repo 内用語を自然な日本語へ統一。
Eldritch Blast	怪光線	エルドリッチ・ブラスト|Eldritch Blast	spell	system 文では和訳を優先。
Channel Divinity	神性伝導	Channel Divinity	class_feature	公式ルール語を優先。
Metamagic	呪文修正	メタマジック|Metamagic	class_feature	公式クラス特徴名を優先。
metamagic option	呪文修正能力	メタマジック オプション|メタマジックのオプション|メタマジックオプション|Metamagic option	class_feature	公式ルール語を優先。
Bardic Inspiration	バードの声援	Bardic Inspiration|Bardic Inspire	class_feature	公式クラス特徴名を優先。
Flurry of Blows	連打	Flurry of Blows	class_feature	公式クラス特徴名を優先。
Divine Smite	神聖なる一撃	Divine Smite	class_feature	公式クラス特徴名を優先。
Improved Divine Smite	神聖なる攻撃	改良型ディヴァイン・スマイト|Improved Divine Smite	class_feature	公式クラス特徴名を優先。
Animal Friendship	獣の友	Animal Friendship|アニマル・フレンドシップ	spell	システム文では漢字和訳を優先。
Find Traps	罠発見	Find Traps|ファインド・トラップス	spell	システム文では漢字和訳を優先。
Spirit Guardians	護りの霊	Spirit Guardians|スピリット・ガーディアンズ	spell	システム文では漢字和訳を優先。
Web	クモの巣	Web|ウェブ	spell	システム文では漢字和訳を優先。
Wall of Thorns	イバラの壁	Wall of Thorns|ウォール・オヴ・ソーンズ	spell	システム文では漢字和訳を優先。
Maze	迷路	メイズ|Maze	spell	システム文では漢字和訳を優先。
Create Food and Water	食糧と水の創造	クリエイト・フード・アンド・ウォーター|Create Food and Water	spell	システム文では漢字和訳を優先。
Death Ward	死からの守り	デス・ウォード|Death Ward	spell	システム文では漢字和訳を優先。
Eyebite	魔眼	アイバイト|Eyebite	spell	システム文では漢字和訳を優先。
Guiding Bolt	導きの矢	ガイディング・ボルト|Guiding Bolt	spell	システム文では漢字和訳を優先。
Gust of Wind	強風	ガスト・オヴ・ウィンド|Gust of Wind	spell	システム文では漢字和訳を優先。
Heavy Armor Master	重装鎧の達人	重装鎧マスター|Heavy Armor Master	feat	公式特技名を優先。
Holy Aura	聖なるオーラ	ホーリィ・オーラ|ホーリー・オーラ|Holy Aura	spell	システム文では漢字和訳を優先。
Hypnotic Pattern	催眠文様	ヒプノティック・パターン|催眠パターン|Hypnotic Pattern	spell	システム文では漢字和訳を優先。
Ice Storm	氷の嵐	アイス・ストーム|アイスストーム|Ice Storm	spell	システム文では漢字和訳を優先。
Polearm Master	長柄の使い手	ポールアームマスター|Polearm Master	feat	公式特技名を優先。
Phantasmal Killer	幻の殺し屋	ファンタズマル・キラー|Phantasmal Killer	spell	システム文では漢字和訳を優先。
Raise Dead	死者の復活	レイズ・デッド|Raise Dead	spell	システム文では漢字和訳を優先。
Spike Growth	トゲ密生	スパイク・グロウス|Spike Growth	spell	システム文では漢字和訳を優先。
Spiritual Weapon	心霊武器	スピリチュアル・ウェポン|Spiritual Weapon	spell	システム文では漢字和訳を優先。
Sunbeam	陽光	サンビーム|Sunbeam	spell	システム文では漢字和訳を優先。
Sunburst	陽光爆発	サンバースト|Sunburst	spell	システム文では漢字和訳を優先。
Tongues	言語会話	タンズ|Tongues	spell	システム文では漢字和訳を優先。
Vicious Mockery	悪意ある嘲り	ヴィシャス・モッカリィ|ヴィシャス・モッカリー|Vicious Mockery	spell	システム文では漢字和訳を優先。
Gargantuan	超巨大	ガルガンチュアン|Gargantuan	rule	サイズ区分のシステム文では漢字和訳を優先。
Fiendish Resilience	魔物の抵抗力	悪魔の回復力|Fiendish Resilience	class_feature	公式クラス特徴名を優先。
Steel Defender	スチール・ディフェンダー	Steel Defender|スティールディフェンダー|スティール・ディフェンダー|スチールディフェンダー	creature	公式クリーチャー名を優先。
Cunning Strike	カニング・ストライク	Cunning Strike|狡猾な一撃	feature	repo 内基準訳。
Blade Flourish	ブレード・フラリッシュ	Blade Flourish	feature	repo 内基準訳。
Transmute Force	変成の力	Transmute Force	feature	repo 内基準訳。
Force Jolt	力場の衝撃	力場ジョルト|Force Jolt	class_feature	repo 内用語を自然な日本語へ統一。
Force Slash	力場の斬撃	力場スラッシュ|Force Slash	class_feature	repo 内用語を自然な日本語へ統一。
Nature Strikes	自然の打撃	Nature Strikes	feature	repo 内基準訳。
Way of Blade	刃の道	Way of Blade	subclass	repo 内基準訳。
Second Wind	底力	Second Wind|セカンド ウィンド|セカンドウィンド	class_feature	公式クラス特徴名を優先。
Song of Rest	休息の歌	Song of Rest|ソング・オブ・レスト	class_feature	公式クラス特徴名を優先。
Sleet Storm	みぞれ混じりの嵐	Sleet Storm|スリート・ストーム	spell	システム文では漢字和訳を優先。
Conjure Celestial	セレスチャル召喚	Conjure Celestial|カンジャー・セレスチャル	spell	システム文では漢字和訳を優先。
Stinking Cloud	悪臭の雲	Stinking Cloud|スティンキング・クラウド	spell	システム文では漢字和訳を優先。
Persistent Rage	終らぬ激怒	Persistent Rage	class_feature	公式クラス特徴名を優先。
Primal Strike	原始の打撃	Primal Strike|プライマルストライク|プライマル・ストライク	feature	公式特徴名を優先。
Elemental Fury	エレメンタル・フューリー	Elemental Fury|エレメンタルフューリー	feature	repo 内基準訳。
Brutal Strike	ブルータル・ストライク	Brutal Strike|ブルータルストライク|ブルータル ストライク	feature	repo 内基準訳。
Wild Shape	自然の化身	Wild Shape|Wildshape|ワイルドシェイプ|ワイルド シェイプ|野生形態|野生の形態|野生の姿	feature	公式特徴名を優先。
Combat Wild Shape	戦う自然の化身	Combat Wild Shape|コンバットワイルドシェイプ	feature	公式特徴名を優先。
Elemental Wild Shape	自然の元素の化身	Elemental Wild Shape	feature	公式特徴名を優先。
Wild Shape Improvement	自然の化身強化	Wild Shape Improvement	feature	公式特徴名を優先。
Arcana	〈魔法学〉	魔法学|アルカナ	skill	技能名は山括弧付き。
Deception	〈ペテン〉	ペテン|欺瞞	skill	技能名は山括弧付き。
History	〈歴史〉	歴史	skill	技能名は山括弧付き。
Intimidation	〈威圧〉	威圧|脅迫	skill	技能名は山括弧付き。
Investigation	〈捜査〉	捜査|調査	skill	技能名は山括弧付き。
Nature	〈自然〉	自然	skill	技能名は山括弧付き。
Performance	〈芸能〉	芸能|パフォーマンス	skill	技能名は山括弧付き。
Persuasion	〈説得〉	説得	skill	技能名は山括弧付き。
Religion	〈宗教〉	宗教	skill	技能名は山括弧付き。
Alert	警戒	アラート	feat	UI タイトルは裸の名称を使う。
Athlete	運動選手	アスリート	feat	UI タイトルは裸の名称を使う。
Dungeon Delver	ダンジョン探険家	ダンジョンデルバー	feat	UI タイトルは裸の名称を使う。
Elven Accuracy	エルフの正確さ	エルフの精度|エルフの命中率|エルフの命中	feat	UI タイトルは裸の名称を使う。
Elemental Adept	元素の達人	エレメンタルアデプト	feat	UI タイトルは裸の名称を使う。
Fey Teleportation	フェイの瞬間移動	フェイのテレポーテーション|フェイテレポーテーション	feat	UI タイトルは裸の名称を使う。
Dragon Fear	竜の恐怖	ドラゴンフィアー	feat	UI タイトルは裸の名称を使う。
Dragon Hide	竜鱗竜爪	ドラゴンの皮	feat	UI タイトルは裸の名称を使う。
Fade Away	姿消し	フェードアウェイ	feat	UI タイトルは裸の名称を使う。
Flames of Phlegethos	プレゲトスの炎	フレゲトスの炎	feat	UI タイトルは裸の名称を使う。
Grappler	組み技の達人	グラップラー	feat	UI タイトルは裸の名称を使う。
Healer	癒し手	ヒーラー	feat	UI タイトルは裸の名称を使う。
Lucky	強運	ラッキー	feat	UI タイトルは裸の名称を使う。
Mage Slayer	魔道士退治	メイジスレイヤー	feat	UI タイトルは裸の名称を使う。
Magic Initiate	魔法のたしなみ	マジック・イニシエイト|マジックイニシエイト	feat	UI タイトルは裸の名称を使う。
Mobile	機動力	携帯|モバイル	feat	UI タイトルは裸の名称を使う。
Weapon Master	武器の使い手	ウェポンマスター	feat	UI タイトルは裸の名称を使う。
Spell Sniper	呪文狙撃手	スペルスナイパー	feat	UI タイトルは裸の名称を使う。
Squat Nimbleness	すばやい短足	スクワットの敏捷力	feat	UI タイトルは裸の名称を使う。
War Caster	戦場の術者	ウォーキャスター	feat	UI タイトルは裸の名称を使う。
Apothecary	薬師	薬屋|アポセカリー	feat	この特技基底名は薬師で統一。
Toxicologist	毒物学者		feat	この特技基底名は毒物学者で統一。
Great Weapon Master	大業物の使い手	グレート武器の使い手|偉大な武器の達人|Great Weapon Master|Great 武器の使い手	feat	公式特技名を優先。
Defensive Duelist	守りの決闘術	守備型デュエリスト|Defensive Duelist	feat	公式特技名を優先。
Sentinel	守護戦士	センチネル|Sentinel	feat	特技名では公式特技名を優先。
Charger	突撃者	充電器|Charger	feat	公式特技名を優先。
Tough	追加hp	Tough	feat	公式特技名を優先。
Weapon Mastery	武器マスタリー	武器の習得|Weapon Mastery	ui	2024系 UI では武器マスタリーに統一。
Daylight	陽光	デイ・ライト|デイライト|Daylight	spell	システム文では漢字和訳を優先。
Primal Order	原始秩序	Primal Order	class_feature	2024 系ドルイド特徴名。
Tactical Master	戦術マスター	Tactical Master	feature	2024系戦士特徴名。
Cleave	薙ぎ払い	切り裂く|Cleave	feature	武器マスタリー特性名。
Graze	かすめ打ち	グレイズ|Graze	feature	武器マスタリー特性名。
Nick	連撃	ニック|Nick	feature	武器マスタリー特性名。
Push	押し出し	押す|Push	feature	武器マスタリー特性名。
Sap	かく乱	弱体化|Sap	feature	武器マスタリー特性名。
Topple	足払い	転倒|Topple	feature	武器マスタリー特性名。
Vex	崩し	翻弄|Vex	feature	武器マスタリー特性名。
Blade Ward	防刃	ブレードウォード|ブレード・ウォード	spell	システム文では漢字和訳を優先。
Booming Blade	唸る剣	ブーミングブレード|ブーミング・ブレード	spell	システム文では漢字和訳を優先。
Create Bonfire	焚き火作成	クリエイト・ボンファイアー|焚き火を作る	spell	システム文では漢字和訳を優先。
Guidance	導き	ガイダンス|ガイド付き	spell	システム文では漢字和訳を優先。
Infestation	寄生生物の群	インフェステイション|感染	spell	システム文では漢字和訳を優先。
Magic Stone	魔法の石つぶて	マジック・ストーン|魔法の石	spell	システム文では漢字和訳を優先。
Poison Spray	毒噴射	ポイズン・スプレー	spell	システム文では漢字和訳を優先。
Ray of Frost	冷気光線	レイ・オヴ・フロスト|レイ・オブ・フロスト	spell	システム文では漢字和訳を優先。
Toll the Dead	とむらいの鐘	トール・ザ・デッド	spell	システム文では漢字和訳を優先。
Word of Radiance	光輝の言葉	輝きの言葉	spell	システム文では漢字和訳を優先。
Chill Touch	負力の接触	死霊の手|チル・タッチ	spell	明示指定により負力の接触を維持。
Savage Attack	凶暴な一撃	サベージアタック|Savage Attack	feat	mod 固有特技名は自然な和訳を採用。
Savage Attacker	凶暴な戦士	サベージアタッカー|Savage Attacker	feat	公式特技名を優先。
Savage Attacks	猛打	野蛮な攻撃|Savage Attacks	feature	公式特徴名を優先。
Countercharm	心を守る歌	カウンターチャーム|Countercharm	feature	公式特徴名を優先。
Flight	飛行	フライト|Flight	feature	system 文では飛行を優先。
Dancing Lights	踊る灯	ダンシング・ライト|ダンシング・ライツ	spell	システム文では漢字和訳を優先。
Green-Flame Blade	緑の炎の剣	グリーンフレイムブレード|緑炎の刃	spell	システム文では漢字和訳を優先。
Lightning Lure	電撃の引き寄せ	ライトニングルアー|ライトニング・ルアー	spell	システム文では漢字和訳を優先。
Primal Savagery	原始の獣性	プライマル・サヴェジリィ|原始的な野蛮さ	spell	システム文では漢字和訳を優先。
Sword Burst	剣の爆発	ソードバースト|ソード・バースト	spell	システム文では漢字和訳を優先。
Thorn Whip	イバラの鞭	とげの鞭|ソーン・ウィップ	spell	システム文では漢字和訳を優先。
Detect Evil and Good	善悪感知	ディテクト・イーヴル・アンド・グッド|Detect Evil and Good	spell	システム文では漢字和訳を優先。
Dispel Evil and Good	善悪解呪	ディスペル・イーヴル・アンド・グッド|Dispel Evil and Good	spell	システム文では漢字和訳を優先。
Conjure Animals	動物召喚	カンジャー・アニマルズ|Conjure Animals	spell	システム文では漢字和訳を優先。
Freedom of Movement	移動の自由	フリーダム・オヴ・ムーヴメント|Freedom of Movement	spell	システム文では漢字和訳を優先。
See Invisibility	不可視視認	シー・インヴィジビリティ|See Invisibility	spell	システム文では漢字和訳を優先。
Shield of Faith	信仰の盾	シールド・オヴ・フェイス|Shield of Faith	spell	システム文では漢字和訳を優先。
Invisibility	不可視化	インヴィジビリティ|Invisibility	spell	システム文では漢字和訳を優先。
